Courses:,UCB,UCSD,UCLA,UCSB,UCI,UCD,UCSC,UCR,UCM
Calculus 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IGETC
Calculus 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IGETC
Calculus 3,No,Yes,Yes,No,No,Yes,No,At least 3,IGETC
Differential Equations,Yes,No,Yes,Yes,No,No,No,No,IGETC
Linear Algebra,Yes,Yes,Yes,Yes,No,No,No,No,IGETC
Discrete Math,No,Yes,Yes,Yes,No,Yes,Yes,At least 3,IGETC
Classical Mech.,No,At least 2 Phys./Chem.,Yes,Yes,No,No,No,Yes,IGETC
"Waves, Optics, Thermo.",No,At least 2 Phys./Chem.,Yes,Yes,No,No,No,At least 3,IGETC
Elec. & Mag.,No,At least 2 Phys./Chem.,Yes,Yes,No,No,No,At least 3,IGETC
Modern Physics,No,At least 2 Phys./Chem.,Yes,No,No,No,No,No,IGETC
Intro to CS,Yes,At least 1 CS,Yes,Yes,At least 2 CS,Yes,Yes,Yes,IGETC
Data Structs/Alg.,Yes,No,No,Yes,At least 2 CS,Yes,Yes,Yes,IGETC
Intro Java,No,At least 1 CS,No,No,At least 2 CS,No,No,Yes,IGETC
